-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                      nano::decode_step         0.00%       0.000us         0.00%       0.000us       0.000us     130.727ms       109.38%     130.727ms      16.341ms           0 B           0 B           0 B           0 B             8  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      85.097ms        71.20%      85.097ms      62.941us           0 B           0 B           0 B           0 B          1352  
                                               aten::mm         0.09%     113.232us         0.11%     143.932us      17.992us       9.841ms         8.23%       9.841ms       1.230ms           0 B           0 B      15.16 MB      15.16 MB             8  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us       9.201ms         7.70%       9.201ms      23.962us           0 B           0 B           0 B           0 B           384  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       3.621ms         3.03%       3.621ms       1.811us           0 B           0 B           0 B           0 B          2000  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       2.187ms         1.83%       2.187ms       0.998us           0 B           0 B           0 B           0 B          2192  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       2.008ms         1.68%       2.008ms     250.953us           0 B           0 B           0 B           0 B             8  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       1.871ms         1.57%       1.871ms       2.228us           0 B           0 B           0 B           0 B           840  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.748ms         1.46%       1.748ms       9.104us           0 B           0 B           0 B           0 B           192  
