-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     188.220us         0.14%     188.220us       1.470us           0 B           0 B           0 B           0 B           128  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     186.945us         0.14%     186.945us       0.974us           0 B           0 B           0 B           0 B           192  
void flash::flash_fwd_splitkv_combine_kernel<Flash_f...         0.00%       0.000us         0.00%       0.000us       0.000us     158.338us         0.12%     158.338us       2.474us           0 B           0 B           0 B           0 B            64  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     142.623us         0.10%     142.623us       0.743us           0 B           0 B           0 B           0 B           192  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     105.608us         0.08%     105.608us       0.825us           0 B           0 B           0 B           0 B           128  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us      83.873us         0.06%      83.873us       1.311us           0 B           0 B           0 B           0 B            64  
                                   store_kvcache_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      77.089us         0.06%      77.089us       1.205us           0 B           0 B           0 B           0 B            64  
                                            aten::copy_         0.10%     154.682us         0.36%     534.277us       4.770us      58.495us         0.04%      58.495us       0.522us           0 B           0 B           0 B           0 B           112  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      56.034us         0.04%      56.034us       0.876us           0 B           0 B           0 B           0 B            64  
                                  cudaStreamIsCapturing         0.01%      11.941us         0.01%      11.941us       0.213us      47.968us         0.03%      47.968us       0.857us           0 B           0 B           0 B           0 B            56  
                                            aten::fill_         0.04%      62.930us         0.12%     183.790us       3.829us      35.071us         0.03%      35.071us       0.731us           0 B           0 B           0 B           0 B            48  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      32.704us         0.02%      32.704us       0.818us           0 B           0 B           0 B           0 B            40  
                                          aten::nonzero         0.07%     104.630us        91.77%     137.612ms      17.202ms      30.336us         0.02%      30.336us       3.792us           0 B           0 B           0 B           0 B             8  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      17.664us         0.01%      17.664us       0.736us           0 B           0 B           0 B           0 B            24  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      17.407us         0.01%      17.407us       0.725us           0 B           0 B           0 B           0 B            24  
                                          memcpy32_post         0.00%       0.000us         0.00%       0.000us       0.000us      15.328us         0.01%      15.328us       1.916us           0 B           0 B           0 B           0 B             8  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      13.344us         0.01%      13.344us       0.278us           0 B           0 B           0 B           0 B            48  
void at_cuda_detail::cub::DeviceSelectSweepKernel<at...         0.00%       0.000us         0.00%       0.000us       0.000us      10.944us         0.01%      10.944us       1.368us           0 B           0 B           0 B           0 B             8  
void at_cuda_detail::cub::DeviceReduceSingleTileKern...         0.00%       0.000us         0.00%       0.000us       0.000us       9.600us         0.01%       9.600us       1.200us           0 B           0 B           0 B           0 B             8  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       7.232us         0.01%       7.232us       0.904us           0 B           0 B           0 B           0 B             8  
                                  triton_poi_fused_gt_0         0.04%      64.020us         0.06%      91.400us      11.425us       6.655us         0.00%       6.655us       0.832us           0 B           0 B           0 B           0 B             8  
                                  triton_poi_fused_gt_0         0.00%       0.000us         0.00%       0.000us       0.000us       6.655us         0.00%       6.655us       0.832us           0 B           0 B           0 B           0 B             8  
void at_cuda_detail::cub::DeviceCompactInitKernel<at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.696us         0.00%       5.696us       0.712us           0 B           0 B           0 B           0 B             8  
                               cudaEventRecordWithFlags         0.01%      22.310us         0.01%      22.310us       0.465us       4.832us         0.00%       4.832us       0.101us           0 B           0 B           0 B           0 B            48  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us       4.096us         0.00%       4.096us       0.512us           0 B           0 B           0 B           0 B             8  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       3.103us         0.00%       3.103us       0.388us           0 B           0 B           0 B           0 B             8  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       2.112us         0.00%       2.112us       0.264us           0 B           0 B           0 B           0 B             8  
                                        cudaGraphLaunch         5.59%       8.382ms         5.59%       8.382ms       1.048ms       0.256us         0.00%       0.256us       0.032us           0 B           0 B           0 B           0 B             8  
                                          ProfilerStep*         0.10%     146.862us       100.00%     149.947ms      18.743ms       0.000us         0.00%      10.531ms       1.316ms           0 B           0 B           0 B           0 B             8  
                                      nano::decode_step         1.14%       1.716ms        99.90%     149.800ms      18.725ms       0.000us         0.00%      10.531ms       1.316ms           0 B      -2.00 KB           0 B     -75.81 MB             8  
                                            aten::empty         0.03%      43.000us         0.04%      62.410us       1.114us       0.000us         0.00%       0.000us       0.000us       1.00 KB       1.00 KB           0 B           0 B            56  
                                         cudaEventQuery         0.02%      23.540us         0.02%      23.540us       0.386us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            61  
                                               aten::to         0.03%      43.601us         0.35%     521.809us       4.659us       0.000us         0.00%      18.559us       0.166us       1.00 KB           0 B      28.00 KB           0 B           112  
                                       aten::lift_fresh         0.00%       1.840us         0.00%       1.840us       0.033us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            56  
                                          aten::detach_         0.00%       2.280us         0.00%       2.280us       0.041us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            56  
                                         aten::_to_copy         0.04%      65.451us         0.32%     478.208us       7.472us       0.000us         0.00%      18.559us       0.290us       1.00 KB           0 B      28.00 KB           0 B            64  
                                    aten::empty_strided         0.06%      94.562us         0.06%      94.562us       1.478us       0.000us         0.00%       0.000us       0.000us       1.00 KB       1.00 KB      28.00 KB      28.00 KB            64  
                                        cudaMemcpyAsync         0.24%     359.226us         0.24%     359.226us       3.207us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           112  
                                            aten::zero_         0.01%      20.600us         0.09%     128.590us       5.358us       0.000us         0.00%      17.375us       0.724us           0 B           0 B           0 B           0 B            24  
                                       cudaLaunchKernel         0.13%     196.872us         0.13%     196.872us       2.461us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            80  
                                            aten::slice         0.03%      48.561us         0.04%      64.711us       0.809us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            80  
                                       aten::as_strided         0.01%      22.260us         0.01%      22.260us       0.232us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            96  
                                  cudaStreamSynchronize        91.64%     137.410ms        91.64%     137.410ms       5.725ms       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            24  
                                   cudaDriverGetVersion         0.00%       0.590us         0.00%       0.590us       0.074us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             8  
                                           aten::linear         0.01%      11.570us         0.12%     186.743us      23.343us       0.000us         0.00%       9.975ms       1.247ms           0 B           0 B      60.62 MB           0 B             8  
                                                aten::t         0.01%      17.800us         0.03%      39.220us       2.451us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            16  
                                        aten::transpose         0.01%      15.310us         0.01%      21.420us       1.339us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            16  
                                           aten::matmul         0.00%       7.010us         0.10%     150.533us      18.817us       0.000us         0.00%       9.975ms       1.247ms           0 B           0 B      60.62 MB           0 B             8  
