-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                      nano::decode_step         0.00%       0.000us         0.00%       0.000us       0.000us     111.545ms       110.85%     111.545ms      13.943ms           0 B           0 B           0 B           0 B             8  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      60.337ms        59.96%      60.337ms      52.375us           0 B           0 B           0 B           0 B          1152  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      21.618ms        21.48%      21.618ms      37.016us           0 B           0 B           0 B           0 B           584  
                                               aten::mm         0.08%      91.881us         0.11%     122.362us      15.295us       9.982ms         9.92%       9.982ms       1.248ms           0 B           0 B       3.79 MB       3.79 MB             8  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       3.638ms         3.62%       3.638ms       1.819us           0 B           0 B           0 B           0 B          2000  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.428ms         1.42%       1.428ms       0.965us           0 B           0 B           0 B           0 B          1480  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       1.383ms         1.37%       1.383ms       1.646us           0 B           0 B           0 B           0 B           840  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.229ms         1.22%       1.229ms       0.826us           0 B           0 B           0 B           0 B          1488  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     915.509us         0.91%     915.509us       0.789us           0 B           0 B           0 B           0 B          1160  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     775.779us         0.77%     775.779us       0.858us           0 B           0 B           0 B           0 B           904  
