-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                      nano::decode_step         0.00%       0.000us         0.00%       0.000us       0.000us     245.957ms       240.70%     245.957ms      30.745ms           0 B           0 B           0 B           0 B             8  
                                nano::gdn_layer_forward         0.00%       0.000us         0.00%       0.000us       0.000us     105.869ms       103.60%     105.869ms     551.403us           0 B           0 B           0 B           0 B           192  
                                               aten::mm         3.99%       9.854ms         5.68%      14.021ms       8.077us      82.304ms        80.54%      82.304ms      47.410us           0 B           0 B      25.73 MB      25.73 MB          1736  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      60.560ms        59.26%      60.560ms      52.570us           0 B           0 B           0 B           0 B          1152  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      21.744ms        21.28%      21.744ms      37.233us           0 B           0 B           0 B           0 B           584  
                                            aten::copy_         2.89%       7.140ms         7.40%      18.273ms       4.108us       6.282ms         6.15%       6.282ms       1.412us           0 B           0 B           0 B           0 B          4448  
                                 nano::gdn_state_gather         0.00%       0.000us         0.00%       0.000us       0.000us       5.551ms         5.43%       5.551ms     693.865us           0 B           0 B           0 B           0 B             8  
                                nano::gdn_state_scatter         0.00%       0.000us         0.00%       0.000us       0.000us       5.460ms         5.34%       5.460ms     682.509us           0 B           0 B           0 B           0 B             8  
                                  nano::gdn_causal_conv         0.00%       0.000us         0.00%       0.000us       0.000us       4.630ms         4.53%       4.630ms      24.115us           0 B           0 B           0 B           0 B           192  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       3.763ms         3.68%       3.763ms       1.881us           0 B           0 B           0 B           0 B          2000  
