-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     589.882us         0.43%     589.882us       3.072us           0 B           0 B           0 B           0 B           192  
                    DaoAILab::_causal_conv1d_update_cpp         1.45%       3.828ms         1.66%       4.382ms      22.822us     565.436us         0.41%     565.436us       2.945us           0 B           0 B           0 B           0 B           192  
void causal_conv1d_update_kernel<Causal_conv1d_updat...         0.00%       0.000us         0.00%       0.000us       0.000us     565.436us         0.41%     565.436us       2.945us           0 B           0 B           0 B           0 B           192  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us     431.226us         0.32%     431.226us       6.738us           0 B           0 B           0 B           0 B            64  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     419.320us         0.31%     419.320us       2.184us           0 B           0 B           0 B           0 B           192  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     397.851us         0.29%     397.851us       1.036us           0 B           0 B           0 B           0 B           384  
                     triton_red_fused__to_copy_argmax_1         0.02%      43.860us         0.02%      62.210us       7.776us     372.860us         0.27%     372.860us      46.608us           0 B           0 B           0 B           0 B             8  
                     triton_red_fused__to_copy_argmax_1         0.00%       0.000us         0.00%       0.000us       0.000us     372.860us         0.27%     372.860us      46.608us           0 B           0 B           0 B           0 B             8  
                                          aten::sigmoid         0.37%     976.223us         0.60%       1.571ms       6.138us     325.660us         0.24%     325.660us       1.272us           0 B           0 B       8.19 MB       8.19 MB           256  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     325.660us         0.24%     325.660us       1.272us           0 B           0 B           0 B           0 B           256  
                                              aten::cat         0.33%     871.480us         0.54%       1.424ms       5.562us     307.292us         0.23%     307.292us       1.200us           0 B           0 B      15.00 MB      15.00 MB           256  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     306.464us         0.22%     306.464us       1.596us           0 B           0 B           0 B           0 B           192  
                            triton_poi_fused_mul_silu_0         0.76%       2.001ms         1.03%       2.715ms      10.606us     276.198us         0.20%     276.198us       1.079us           0 B           0 B           0 B           0 B           256  
                            triton_poi_fused_mul_silu_0         0.00%       0.000us         0.00%       0.000us       0.000us     276.198us         0.20%     276.198us       1.079us           0 B           0 B           0 B           0 B           256  
                                         aten::softplus         0.24%     630.010us         0.40%       1.061ms       5.528us     265.827us         0.19%     265.827us       1.385us           0 B           0 B     384.00 KB     384.00 KB           192  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     265.827us         0.19%     265.827us       1.385us           0 B           0 B           0 B           0 B           192  
                                              aten::exp         0.22%     574.225us         0.37%     964.754us       5.025us     231.552us         0.17%     231.552us       1.206us           0 B           0 B      96.00 KB      96.00 KB           192  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     231.552us         0.17%     231.552us       1.206us           0 B           0 B           0 B           0 B           192  
                                             aten::silu         0.23%     613.329us         0.39%       1.019ms       5.305us     227.964us         0.17%     227.964us       1.187us           0 B           0 B      48.00 MB      48.00 MB           192  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     227.964us         0.17%     227.964us       1.187us           0 B           0 B           0 B           0 B           192  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     222.237us         0.16%     222.237us       0.868us           0 B           0 B           0 B           0 B           256  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     209.502us         0.15%     209.502us       1.091us           0 B           0 B           0 B           0 B           192  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     194.366us         0.14%     194.366us       1.518us           0 B           0 B           0 B           0 B           128  
