-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       cudaLaunchKernel        13.96%      28.760ms        14.26%      29.374ms       2.070us     301.053us         0.26%     301.917us       0.021us           0 B           0 B           0 B           0 B         14192  
                            triton_poi_fused_mul_silu_0         0.95%       1.962ms         1.28%       2.637ms      10.303us     271.936us         0.23%     271.936us       1.062us           0 B           0 B           0 B           0 B           256  
                            triton_poi_fused_mul_silu_0         0.00%       0.000us         0.00%       0.000us       0.000us     271.936us         0.23%     271.936us       1.062us           0 B           0 B           0 B           0 B           256  
                                         aten::softplus         0.29%     600.579us         0.48%     997.246us       5.194us     268.026us         0.23%     268.026us       1.396us           0 B           0 B     384.00 KB     384.00 KB           192  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     268.026us         0.23%     268.026us       1.396us           0 B           0 B           0 B           0 B           192  
                                             aten::silu         0.27%     553.586us         0.46%     941.984us       4.906us     230.525us         0.20%     230.525us       1.201us           0 B           0 B      48.00 MB      48.00 MB           192  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     230.525us         0.20%     230.525us       1.201us           0 B           0 B           0 B           0 B           192  
                                              aten::exp         0.26%     529.305us         0.44%     910.024us       4.740us     229.786us         0.20%     229.786us       1.197us           0 B           0 B      96.00 KB      96.00 KB           192  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     229.786us         0.20%     229.786us       1.197us           0 B           0 B           0 B           0 B           192  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     221.374us         0.19%     221.374us       0.865us           0 B           0 B           0 B           0 B           256  
