name,workload,prompt_tokens,image_size,output_tokens,concurrency,token_budget,requests_per_second,prefill_tokens_per_second,decode_tokens_per_second,ttft_p50_ms,ttft_p95_ms,tpot_p50_ms,tpot_p95_ms,e2e_p95_ms,queue_p95_ms,num_preemptions,num_recomputed_tokens,vision_forwards,visual_cache_peak_gib,cuda_peak_allocated_gib
text_p128_o64_c1_b2048,text,128,512,64,1,2048,0.45714895670134736,235.71504878509006,38.346166372583994,543.0979150114581,543.0979150114581,26.10053330112899,26.10053330112899,2187.4315129825845,0.04125002305954695,0,0,0,0.0,24.199175357818604
text_p2048_o64_c4_b2048,text,2048,512,64,4,2048,1.2129796304651348,5744.177905696924,134.8181703468627,1393.7996870372444,1567.95540782623,29.534874873841922,39.2812719329312,3293.0806220159866,1230.0754508527461,0,0,0,0.0,24.537384510040283
image_s512_o64_c1_b2048,image,128,512,64,1,2048,0.43538613773656765,391.33615939425437,41.203092705714546,766.4168170886114,766.4168170886114,24.291092062383772,24.291092062383772,2296.755617018789,0.05949998740106821,0,0,1,0.001953125,24.227957725524902
image_s1024_o64_c4_b512,image,128,1024,64,4,512,0.9576757530531106,1874.882537915451,140.74600192374203,2220.833911036607,2447.816777660046,28.305202832497244,33.214366429075156,4039.4330127630383,2114.8259381356183,0,0,4,0.03125,24.720611572265625
mixed_p128_s512_o64_c4_b512,mixed,128,512,64,4,512,1.475432073355009,771.1983271900991,160.9153839175403,1178.355662501417,1274.0607555024326,23.50248667385636,25.29606464991553,2676.3092559354845,853.2478718203489,0,0,2,0.00390625,24.690336227416992
mixed_p2048_s1024_o64_c8_b2048,mixed,2048,1024,64,8,2048,2.222458094220227,5957.732238124095,350.4439610381358,1833.366748993285,2242.5054376595654,26.44580088016237,41.754240458202915,3521.8485684657935,1844.6625585260333,0,0,4,0.03125,24.904804229736328
