-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us     402.305us         0.34%     402.305us       6.286us           0 B           0 B           0 B           0 B            64  
                     triton_red_fused__to_copy_argmax_1         0.02%      44.920us         0.03%      63.431us       7.929us     386.339us         0.32%     386.339us      48.292us           0 B           0 B           0 B           0 B             8  
                     triton_red_fused__to_copy_argmax_1         0.00%       0.000us         0.00%       0.000us       0.000us     386.339us         0.32%     386.339us      48.292us           0 B           0 B           0 B           0 B             8  
                    DaoAILab::_causal_conv1d_update_cpp         1.46%       3.695ms         1.67%       4.237ms      22.067us     324.511us         0.27%     324.511us       1.690us           0 B           0 B           0 B           0 B           192  
void causal_conv1d_update_kernel<Causal_conv1d_updat...         0.00%       0.000us         0.00%       0.000us       0.000us     324.511us         0.27%     324.511us       1.690us           0 B           0 B           0 B           0 B           192  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     321.574us         0.27%     321.574us       0.837us           0 B           0 B           0 B           0 B           384  
                                              aten::cat         0.34%     850.124us         0.56%       1.414ms       5.523us     303.778us         0.25%     303.778us       1.187us           0 B           0 B       3.75 MB       3.75 MB           256  
                                          aten::sigmoid         0.38%     968.446us         0.60%       1.531ms       5.981us     278.243us         0.23%     278.243us       1.087us           0 B           0 B       2.09 MB       2.09 MB           256  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     278.243us         0.23%     278.243us       1.087us           0 B           0 B           0 B           0 B           256  
                            triton_poi_fused_mul_silu_0         0.80%       2.022ms         1.07%       2.698ms      10.541us     256.001us         0.21%     256.001us       1.000us           0 B           0 B           0 B           0 B           256  
                            triton_poi_fused_mul_silu_0         0.00%       0.000us         0.00%       0.000us       0.000us     256.001us         0.21%     256.001us       1.000us           0 B           0 B           0 B           0 B           256  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     235.747us         0.20%     235.747us       0.921us           0 B           0 B           0 B           0 B           256  
                                              aten::exp         0.22%     557.801us         0.37%     948.981us       4.943us     230.883us         0.19%     230.883us       1.203us           0 B           0 B      96.00 KB      96.00 KB           192  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     230.883us         0.19%     230.883us       1.203us           0 B           0 B           0 B           0 B           192  
                                             aten::silu         0.24%     608.576us         0.39%     997.004us       5.193us     228.575us         0.19%     228.575us       1.190us           0 B           0 B      12.00 MB      12.00 MB           192  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     228.575us         0.19%     228.575us       1.190us           0 B           0 B           0 B           0 B           192  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     215.388us         0.18%     215.388us       1.122us           0 B           0 B           0 B           0 B           192  
                                         aten::softplus         0.25%     625.880us         0.41%       1.035ms       5.393us     213.506us         0.18%     213.506us       1.112us           0 B           0 B      96.00 KB      96.00 KB           192  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     213.506us         0.18%     213.506us       1.112us           0 B           0 B           0 B           0 B           192  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     192.577us         0.16%     192.577us       1.505us           0 B           0 B           0 B           0 B           128  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     179.429us         0.15%     179.429us       0.935us           0 B           0 B           0 B           0 B           192  
                                              aten::neg         0.22%     557.223us         0.37%     946.807us       4.931us     167.170us         0.14%     167.170us       0.871us           0 B           0 B      96.00 KB      96.00 KB           192  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     167.170us         0.14%     167.170us       0.871us           0 B           0 B           0 B           0 B           192  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     165.055us         0.14%     165.055us       0.860us           0 B           0 B           0 B           0 B           192  
void flash::flash_fwd_splitkv_combine_kernel<Flash_f...         0.00%       0.000us         0.00%       0.000us       0.000us     160.768us         0.13%     160.768us       2.512us           0 B           0 B           0 B           0 B            64  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     141.408us         0.12%     141.408us       1.105us           0 B           0 B           0 B           0 B           128  
                                              aten::sub         0.14%     342.973us         0.24%     596.098us       4.657us     118.755us         0.10%     118.755us       0.928us           0 B           0 B     640.00 KB     640.00 KB           128  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     111.201us         0.09%     111.201us       0.869us           0 B           0 B           0 B           0 B           128  
                                            aten::index         0.22%     549.810us         0.34%     858.781us      13.418us      86.014us         0.07%      86.014us       1.344us           0 B           0 B     192.00 KB     192.00 KB            64  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us      86.014us         0.07%      86.014us       1.344us           0 B           0 B           0 B           0 B            64  
                                       cudaLaunchKernel        12.02%      30.444ms        12.02%      30.444ms       2.089us      81.408us         0.07%      81.408us       0.006us           0 B           0 B           0 B           0 B         14576  
                                   store_kvcache_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      72.865us         0.06%      72.865us       1.139us           0 B           0 B           0 B           0 B            64  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      58.432us         0.05%      58.432us       0.913us           0 B           0 B           0 B           0 B            64  
                                          aten::nonzero         0.05%     118.952us         3.80%       9.622ms       1.203ms      30.814us         0.03%      30.814us       3.852us           0 B           0 B           0 B           0 B             8  
                                       cuLaunchKernelEx         0.27%     693.053us         0.27%     693.053us       2.707us      29.184us         0.02%      29.184us       0.114us           0 B           0 B           0 B           0 B           256  
                                 cudaDeviceGetAttribute         0.12%     309.467us         0.12%     309.467us       0.160us      13.408us         0.01%      13.408us       0.007us           0 B           0 B           0 B           0 B          1936  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      12.990us         0.01%      12.990us       0.271us           0 B           0 B           0 B           0 B            48  
void at_cuda_detail::cub::DeviceSelectSweepKernel<at...         0.00%       0.000us         0.00%       0.000us       0.000us      11.007us         0.01%      11.007us       1.376us           0 B           0 B           0 B           0 B             8  
