-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                      aten::index_copy_         0.36%     943.282us         0.70%       1.821ms       4.743us       8.534ms         6.25%       8.534ms      22.224us           0 B           0 B           0 B           0 B           384  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       7.745ms         5.67%       7.745ms      40.340us           0 B           0 B           0 B           0 B           192  
                                            aten::copy_         2.94%       7.650ms         7.29%      18.958ms       4.086us       7.106ms         5.20%       7.106ms       1.531us           0 B           0 B           0 B           0 B          4640  
                                 FusedRecurrentFunction         6.62%      17.209ms         7.81%      20.309ms     105.776us       5.501ms         4.03%       5.779ms      30.098us           0 B           0 B       6.02 GB     -24.00 MB           192  
            fused_recurrent_gated_delta_rule_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       5.501ms         4.03%       5.501ms      28.651us           0 B           0 B           0 B           0 B           192  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.023ms         2.94%       4.023ms       2.011us           0 B           0 B           0 B           0 B          2000  
                                             aten::mean         1.35%       3.500ms         2.01%       5.232ms       6.229us       3.750ms         2.75%       3.750ms       4.465us           0 B           0 B     740.00 KB     740.00 KB           840  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       3.750ms         2.75%       3.750ms       4.465us           0 B           0 B           0 B           0 B           840  
                                              aten::mul         2.43%       6.328ms         4.42%      11.495ms       4.354us       3.251ms         2.38%       3.251ms       1.232us           0 B           0 B     462.38 MB     462.38 MB          2640  
                                  nano::gdn_causal_conv         0.00%       0.000us         0.00%       0.000us       0.000us       2.488ms         1.82%       2.488ms      12.958us           0 B           0 B           0 B           0 B           192  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       2.415ms         1.77%       2.415ms       1.102us           0 B           0 B           0 B           0 B          2192  
                                              aten::add         2.54%       6.591ms         4.32%      11.229ms       4.840us       2.360ms         1.73%       2.360ms       1.017us        -360 B        -360 B      75.85 MB      75.85 MB          2320  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       1.899ms         1.39%       1.899ms       9.494us           0 B           0 B           0 B           0 B           200  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.352ms         0.99%       1.352ms       0.909us           0 B           0 B           0 B           0 B          1488  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     988.424us         0.72%     988.424us       0.852us           0 B           0 B           0 B           0 B          1160  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     945.761us         0.69%     945.761us       1.478us           0 B           0 B           0 B           0 B           640  
                                            aten::rsqrt         0.78%       2.040ms         1.44%       3.748ms       4.462us     791.326us         0.58%     791.326us       0.942us           0 B           0 B     740.00 KB     740.00 KB           840  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     791.326us         0.58%     791.326us       0.942us           0 B           0 B           0 B           0 B           840  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     788.769us         0.58%     788.769us       4.108us           0 B           0 B           0 B           0 B           192  
                                              aten::pow         1.24%       3.236ms         1.98%       5.148ms       6.128us     782.205us         0.57%     782.205us       0.931us           0 B           0 B     198.00 MB     198.00 MB           840  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     782.205us         0.57%     782.205us       0.931us           0 B           0 B           0 B           0 B           840  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     686.425us         0.50%     686.425us       1.341us           0 B           0 B           0 B           0 B           512  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     621.796us         0.46%     621.796us       1.214us           0 B           0 B           0 B           0 B           512  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     592.065us         0.43%     592.065us       3.084us           0 B           0 B           0 B           0 B           192  
                    DaoAILab::_causal_conv1d_update_cpp         1.42%       3.680ms         1.63%       4.239ms      22.077us     567.139us         0.42%     567.139us       2.954us           0 B           0 B           0 B           0 B           192  
void causal_conv1d_update_kernel<Causal_conv1d_updat...         0.00%       0.000us         0.00%       0.000us       0.000us     567.139us         0.42%     567.139us       2.954us           0 B           0 B           0 B           0 B           192  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us     431.074us         0.32%     431.074us       6.736us           0 B           0 B           0 B           0 B            64  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     420.936us         0.31%     420.936us       2.192us           0 B           0 B           0 B           0 B           192  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     399.103us         0.29%     399.103us       1.039us           0 B           0 B           0 B           0 B           384  
                     triton_red_fused__to_copy_argmax_1         0.02%      43.111us         0.02%      61.292us       7.662us     372.641us         0.27%     372.641us      46.580us           0 B           0 B           0 B           0 B             8  
                     triton_red_fused__to_copy_argmax_1         0.00%       0.000us         0.00%       0.000us       0.000us     372.641us         0.27%     372.641us      46.580us           0 B           0 B           0 B           0 B             8  
                                          aten::sigmoid         0.37%     959.367us         0.58%       1.508ms       5.891us     326.980us         0.24%     326.980us       1.277us           0 B           0 B       8.19 MB       8.19 MB           256  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     326.980us         0.24%     326.980us       1.277us           0 B           0 B           0 B           0 B           256  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     308.162us         0.23%     308.162us       1.605us           0 B           0 B           0 B           0 B           192  
                                              aten::cat         0.33%     864.611us         0.55%       1.421ms       5.551us     307.945us         0.23%     307.945us       1.203us           0 B           0 B      15.00 MB      15.00 MB           256  
                            triton_poi_fused_mul_silu_0         0.75%       1.961ms         1.03%       2.677ms      10.456us     276.862us         0.20%     276.862us       1.081us           0 B           0 B           0 B           0 B           256  
                            triton_poi_fused_mul_silu_0         0.00%       0.000us         0.00%       0.000us       0.000us     276.862us         0.20%     276.862us       1.081us           0 B           0 B           0 B           0 B           256  
                                         aten::softplus         0.25%     641.744us         0.40%       1.040ms       5.414us     266.820us         0.20%     266.820us       1.390us           0 B           0 B     384.00 KB     384.00 KB           192  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     266.820us         0.20%     266.820us       1.390us           0 B           0 B           0 B           0 B           192  
                                              aten::exp         0.22%     559.516us         0.39%       1.010ms       5.262us     232.733us         0.17%     232.733us       1.212us           0 B           0 B      96.00 KB      96.00 KB           192  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     232.733us         0.17%     232.733us       1.212us           0 B           0 B           0 B           0 B           192  
                                             aten::silu         0.24%     628.529us         0.39%       1.026ms       5.346us     228.742us         0.17%     228.742us       1.191us           0 B           0 B      48.00 MB      48.00 MB           192  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     228.742us         0.17%     228.742us       1.191us           0 B           0 B           0 B           0 B           192  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     223.069us         0.16%     223.069us       0.871us           0 B           0 B           0 B           0 B           256  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     210.979us         0.15%     210.979us       1.099us           0 B           0 B           0 B           0 B           192  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     194.659us         0.14%     194.659us       1.521us           0 B           0 B           0 B           0 B           128  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     185.052us         0.14%     185.052us       0.964us           0 B           0 B           0 B           0 B           192  
                                              aten::neg         0.22%     580.716us         0.37%     964.053us       5.021us     169.061us         0.12%     169.061us       0.881us           0 B           0 B      96.00 KB      96.00 KB           192  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     169.061us         0.12%     169.061us       0.881us           0 B           0 B           0 B           0 B           192  
void flash::flash_fwd_splitkv_combine_kernel<Flash_f...         0.00%       0.000us         0.00%       0.000us       0.000us     160.738us         0.12%     160.738us       2.512us           0 B           0 B           0 B           0 B            64  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     113.286us         0.08%     113.286us       0.885us           0 B           0 B           0 B           0 B           128  
                                              aten::sub         0.13%     349.162us         0.23%     602.274us       4.705us     112.541us         0.08%     112.541us       0.879us           0 B           0 B       2.50 MB       2.50 MB           128  
                                            aten::index         0.22%     561.786us         0.33%     869.601us      13.588us      89.443us         0.07%      89.443us       1.398us           0 B           0 B     768.00 KB     768.00 KB            64  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us      89.443us         0.07%      89.443us       1.398us           0 B           0 B           0 B           0 B            64  
                                   store_kvcache_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      76.290us         0.06%      76.290us       1.192us           0 B           0 B           0 B           0 B            64  
                                 cudaDeviceGetAttribute         0.12%     322.604us         0.12%     322.604us       0.167us      60.864us         0.04%      60.864us       0.031us           0 B           0 B           0 B           0 B          1936  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      59.328us         0.04%      59.328us       0.927us           0 B           0 B           0 B           0 B            64  
                                          aten::nonzero         0.05%     120.134us         5.59%      14.537ms       1.817ms      30.785us         0.02%      30.785us       3.848us           0 B           0 B           0 B           0 B             8  
                                  cudaStreamIsCapturing         0.01%      13.530us         0.01%      13.530us       0.282us      27.520us         0.02%      27.520us       0.573us           0 B           0 B           0 B           0 B            48  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      13.246us         0.01%      13.246us       0.276us           0 B           0 B           0 B           0 B            48  
                                       cudaLaunchKernel        11.95%      31.060ms        11.95%      31.060ms       2.076us      12.000us         0.01%      12.000us       0.001us           0 B           0 B           0 B           0 B         14960  
void at_cuda_detail::cub::DeviceSelectSweepKernel<at...         0.00%       0.000us         0.00%       0.000us       0.000us      10.817us         0.01%      10.817us       1.352us           0 B           0 B           0 B           0 B             8  
void at_cuda_detail::cub::DeviceReduceSingleTileKern...         0.00%       0.000us         0.00%       0.000us       0.000us       9.728us         0.01%       9.728us       1.216us           0 B           0 B           0 B           0 B             8  
                                  triton_poi_fused_gt_0         0.02%      59.970us         0.03%      90.161us      11.270us       6.785us         0.00%       6.785us       0.848us           0 B           0 B           0 B           0 B             8  
                                  triton_poi_fused_gt_0         0.00%       0.000us         0.00%       0.000us       0.000us       6.785us         0.00%       6.785us       0.848us           0 B           0 B           0 B           0 B             8  
void at_cuda_detail::cub::DeviceCompactInitKernel<at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.824us         0.00%       5.824us       0.728us           0 B           0 B           0 B           0 B             8  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       4.544us         0.00%       4.544us       0.284us           0 B           0 B           0 B           0 B            16  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us       4.416us         0.00%       4.416us       0.552us           0 B           0 B           0 B           0 B             8  
                                       cuLaunchKernelEx         0.27%     714.566us         0.27%     714.566us       2.791us       4.128us         0.00%       4.128us       0.016us           0 B           0 B           0 B           0 B           256  
                                Activity Buffer Request         0.23%     608.528us         0.23%     608.528us     608.528us       3.584us         0.00%       3.584us       3.584us           0 B           0 B           0 B           0 B             1  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       2.817us         0.00%       2.817us       0.352us           0 B           0 B           0 B           0 B             8  
                                   cudaFuncSetAttribute         0.02%      61.462us         0.02%      61.462us       0.960us       0.960us         0.00%       0.960us       0.015us           0 B           0 B           0 B           0 B            64  
                                          ProfilerStep*         0.05%     142.164us       100.00%     259.989ms      32.499ms       0.000us         0.00%     136.034ms      17.004ms           0 B           0 B           0 B           0 B             8  
                                      nano::decode_step        15.93%      41.405ms        99.95%     259.846ms      32.481ms       0.000us         0.00%     136.034ms      17.004ms           0 B        -664 B           0 B     -13.67 GB             8  
                                            aten::empty         0.80%       2.071ms         0.81%       2.094ms       1.415us       0.000us         0.00%       0.000us       0.000us       2.00 KB       2.00 KB       6.14 GB       6.14 GB          1480  
                                         cudaEventQuery         0.01%      27.782us         0.01%      27.782us       0.496us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            56  
                                               aten::to         0.54%       1.396ms         8.85%      23.006ms       4.899us       0.000us         0.00%       5.453ms       1.161us       1.00 KB           0 B     385.25 MB           0 B          4696  
                                       aten::lift_fresh         0.00%       3.430us         0.00%       3.430us       0.054us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            64  
                                          aten::detach_         0.00%       3.980us         0.00%       3.980us       0.062us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            64  
                                         aten::_to_copy         1.52%       3.959ms         8.31%      21.610ms       6.311us       0.000us         0.00%       5.453ms       1.592us       1.00 KB           0 B     385.25 MB           0 B          3424  
                                    aten::empty_strided         2.23%       5.787ms         2.23%       5.787ms       1.380us       0.000us         0.00%       0.000us       0.000us       1.00 KB       1.00 KB     657.50 MB     657.50 MB          4192  
                                        cudaMemcpyAsync         0.68%       1.776ms         0.68%       1.776ms       6.531us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           272  
                               cudaEventRecordWithFlags         0.01%      29.210us         0.01%      29.210us       0.609us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            48  
                                 nano::gdn_state_gather         0.61%       1.592ms         1.83%       4.753ms     594.179us       0.000us         0.00%      10.851ms       1.356ms           0 B      -1.00 KB       6.19 GB      -4.00 KB             8  
                                  cudaStreamSynchronize         5.57%      14.489ms         5.57%      14.489ms     452.781us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            32  
                                            aten::slice         0.52%       1.352ms         0.68%       1.758ms       0.858us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          2048  
                                       aten::as_strided         0.85%       2.210ms         0.85%       2.210ms       0.267us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          8272  
                                           aten::select         0.35%     901.503us         0.43%       1.112ms       0.965us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          1152  
                                          aten::resize_         0.13%     335.897us         0.13%     335.897us       0.840us       0.000us         0.00%       0.000us       0.000us           0 B           0 B       6.19 GB       6.19 GB           400  
                                        aten::embedding         0.00%       6.120us         0.03%      71.650us       8.956us       0.000us         0.00%      43.680us       5.460us           0 B           0 B       1.00 MB           0 B             8  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 259.989ms
Self CUDA time total: 136.593ms
