-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                      nano::decode_step         0.00%       0.000us         0.00%       0.000us       0.000us     258.675ms       189.38%     258.675ms      32.334ms           0 B           0 B           0 B           0 B             8  
                                nano::gdn_layer_forward         0.00%       0.000us         0.00%       0.000us       0.000us     104.692ms        76.64%     104.692ms     545.269us           0 B           0 B           0 B           0 B           192  
                                               aten::mm         4.78%      12.438ms         7.06%      18.358ms      10.575us      89.968ms        65.87%      89.972ms      51.827us           0 B           0 B     409.00 MB     409.00 MB          1736  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      79.377ms        58.11%      79.377ms      45.936us           0 B           0 B           0 B           0 B          1728  
                                   nano::gdn_delta_rule         0.00%       0.000us         0.00%       0.000us       0.000us      20.735ms        15.18%      20.735ms     107.996us           0 B           0 B           0 B           0 B           192  
                                 nano::gdn_state_gather         0.00%       0.000us         0.00%       0.000us       0.000us      11.358ms         8.32%      11.358ms       1.420ms           0 B           0 B           0 B           0 B             8  
                                     aten::index_select         0.36%     934.742us         0.93%       2.430ms       6.199us      10.893ms         7.97%      10.893ms      27.787us           0 B           0 B       6.19 GB           0 B           392  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us       9.969ms         7.30%       9.969ms       1.246ms           0 B           0 B           0 B           0 B             8  
                                nano::gdn_state_scatter         0.00%       0.000us         0.00%       0.000us       0.000us       9.735ms         7.13%       9.735ms       1.217ms           0 B           0 B           0 B           0 B             8  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       8.994ms         6.58%       8.994ms      46.843us           0 B           0 B           0 B           0 B           192  
